,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
442,2018,1,La Pampa,10807,51389,8386,10556,1926,83064
443,2018,1,La Rioja,16960,34984,13,2530,350,52245
444,2018,1,Mendoza,152931,36872,3086,6206,1852,200947
445,2018,1,Misiones,56311,46880,328,50,560,103580
446,2018,1,Neuquén,46714,55072,1000,12404,2713,117903
447,2018,1,Río Negro,68769,31712,1251,4259,5128,111119
448,2018,1,Salta,79936,51534,118,2040,1391,133183
449,2018,1,San Juan,54080,5068,826,2246,1048,63268
450,2018,1,San Luis,11104,7594,368,160,2314,21396
451,2018,1,Santa Cruz,18615,4474,1799,6734,2783,34405
452,2018,1,Santa Fe,341997,300421,10674,11636,15298,680026
453,2018,1,Santiago Del Estero,26788,54594,23,1432,810,82918
454,2018,1,Tierra Del Fuego,19372,9663,531,10,2047,31614
455,2018,1,Tucumán,158611,8921,107,3680,500,168057
456,2017,4,Buenos Aires,1241172,1718013,131181,60082,31448,3181896
457,2017,4,Capital Federal,571363,961688,36277,3119,9877,1582324
458,2017,4,Catamarca,27083,263,11,10,22,29558
459,2017,4,Chaco,55035,39690,389,3800,1121,96615
460,2017,4,Chubut,56378,15097,1187,1407,6708,93440
461,2017,4,Córdoba,349710,324709,12778,12043,10739,709979
462,2017,4,Corrientes,56786,34722,894,1334,350,93771
463,2017,4,Entre Ríos,107764,73692,1894,10267,860,193703
464,2017,4,Formosa,23410,6973,19,1603,510,32056
465,2017,4,Jujuy,33844,9626,20,280,340,43552
466,2017,4,La Pampa,10808,50495,8272,10569,1927,82071
467,2017,4,La Rioja,16912,34984,14,2530,310,52194
468,2017,4,Mendoza,152896,16114,3015,6206,192,180151
469,2017,4,Misiones,56271,47470,95,50,540,103895
470,2017,4,Neuquén,46739,54119,1017,12404,2692,116971
471,2017,4,Río Negro,68690,30451,1250,4259,5114,109764
472,2017,4,Salta,80705,50446,127,1580,1376,132812
473,2017,4,San Juan,54079,451,812,2246,1036,58624
474,2017,4,San Luis,11104,1119,335,170,2329,14904
475,2017,4,Santa Cruz,18614,1668,582,4638,395,29452
476,2017,4,Santa Fe,341680,293831,10602,10965,15382,672460
477,2017,4,Santiago Del Estero,27313,40407,19,1025,800,68844
478,2017,4,Tierra Del Fuego,19372,6906,530,10,2045,28854
479,2017,4,Tucumán,156583,5223,105,1020,3190,162332
480,2017,3,Buenos Aires,1288025,1571180,124920,35058,38777,3057960
481,2017,3,Capital Federal,583249,941092,33481,2814,9723,1570359
482,2017,3,Catamarca,26873,4411,12,10,2181,33478
483,2017,3,Chaco,54888,37307,456,360,1072,93759
484,2017,3,Chubut,56359,5645,1217,13503,682,83544
485,2017,3,Córdoba,344580,319360,10579,7137,14988,696644
486,2017,3,Corrientes,56247,33993,947,1334,270,92548
487,2017,3,Entre Ríos,107774,69596,1786,6245,630,185464
488,2017,3,Formosa,22647,6816,428,2202,120,32105
489,2017,3,Jujuy,33796,9395,20,230,80,43242
490,2017,3,La Pampa,11378,49679,5153,11536,1944,79690
491,2017,3,La Rioja,16638,34984,14,2520,250,51913
492,2017,3,Mendoza,154036,33788,2772,290,1866,192491
493,2017,3,Misiones,56472,43880,110,50,90,100476
494,2017,3,Neuquén,48001,52468,1044,11576,2695,115784
495,2017,3,Río Negro,69301,30018,1106,3054,4017,107496
496,2017,3,Salta,80782,50284,127,1580,1167,132518
497,2017,3,San Juan,54499,5068,816,1053,1013,62449
498,2017,3,San Luis,11407,7576,347,260,2363,21719
499,2017,3,Santa Cruz,19220,5487,1544,4552,2887,33690
500,2017,3,Santa Fe,322953,290655,6338,4897,37499,662342
501,2017,3,Santiago Del Estero,27733,54096,19,9110,350,82794
502,2017,3,Tierra Del Fuego,21587,7012,622,10,2244,31466
503,2017,3,Tucumán,154130,6431,106,400,3050,161012
504,2017,2,Buenos Aires,1378549,1535037,119132,21555,24358,3078631
505,2017,2,Capital Federal,615262,932466,38628,2819,11016,1600191
506,2017,2,Catamarca,26401,255,14,10,340,26705
507,2017,2,Chaco,54449,35613,458,520,390,90611
508,2017,2,Chubut,43994,1067,916,13194,4804,63975
509,2017,2,Córdoba,341748,303488,4451,6446,1505,657638
510,2017,2,Corrientes,55262,33192,258,1354,310,90097
511,2017,2,Entre Ríos,108309,67650,254,6448,710,182732
512,2017,2,Formosa,22493,6410,17,1023,130,29956
513,2017,2,Jujuy,33742,8858,22,0,350,42657
514,2017,2,La Pampa,12754,48310,5194,6253,5110,73022
515,2017,2,La Rioja,16244,0,15,20,280,16289
516,2017,2,Mendoza,153331,13030,2581,270,1784,170753
517,2017,2,Misiones,56752,42925,103,50,90,99794
518,2017,2,Neuquén,51794,50283,1133,11545,2678,117433
519,2017,2,Río Negro,67038,29147,961,3213,126,101619
520,2017,2,Salta,80184,27280,115,1580,8040,108541
521,2017,2,San Juan,48670,451,772,1073,9150,51881
522,2017,2,San Luis,11432,1120,354,260,3750,13307
523,2017,2,Santa Cruz,15311,2722,1365,4735,2255,26388
524,2017,2,Santa Fe,329813,228102,3234,4958,1173,567280
525,2017,2,Santiago Del Estero,28337,3900,19,9110,290,33196
526,2017,2,Tierra Del Fuego,22636,6905,665,10,235,32557
527,2017,2,Tucumán,149013,5223,116,140,450,154411
528,2017,1,Buenos Aires,1559178,1465817,118839,212,24342,3189376
529,2017,1,Capital Federal,428801,918328,38259,273,10928,1399046
530,2017,1,Catamarca,26020,248,14,10,340,26317
531,2017,1,Chaco,54430,34277,252,520,390,89050
532,2017,1,Chubut,43994,999,916,13194,4793,63896
533,2017,1,Córdoba,335673,293479,4871,5782,1394,641199
534,2017,1,Corrientes,54993,31994,236,1354,310,88608
535,2017,1,Entre Ríos,108509,65095,230,6448,710,180353
536,2017,1,Formosa,22438,6215,16,1023,130,29705
537,2017,1,Jujuy,33869,9278,22,0,340,43203
538,2017,1,La Pampa,12754,47195,5194,6253,5170,71913
539,2017,1,La Rioja,16180,0,15,20,280,16225
540,2017,1,Mendoza,153326,13030,2581,270,1769,170733
541,2017,1,Misiones,57363,40142,101,50,80,97619
542,2017,1,Neuquén,51771,48109,1124,11665,267,115339
543,2017,1,Río Negro,67075,28785,954,3213,1261,101288
544,2017,1,Salta,79837,26845,114,1580,6790,107633
545,2017,1,San Juan,48670,451,772,1073,9070,51873
546,2017,1,San Luis,11432,1120,354,260,3750,13307
547,2017,1,Santa Cruz,15502,2722,1272,4733,2257,26486
548,2017,1,Santa Fe,327458,226094,3210,4948,1172,562882
549,2017,1,Santiago Del Estero,29616,3900,19,9110,290,34475
550,2017,1,Tierra Del Fuego,22636,6905,665,10,235,32557
551,2017,1,Tucumán,147373,5223,116,140,450,152771
552,2016,4,Buenos Aires,1563542,1414676,118747,21394,24342,3142701
553,2016,4,Capital Federal,434835,914952,38161,2583,10928,1401459
554,2016,4,Catamarca,26735,250,14,10,340,27034
555,2016,4,Chaco,54974,33534,248,520,390,88847
556,2016,4,Chubut,43994,955,916,13107,4793,63765
557,2016,4,Córdoba,337368,289344,3368,5686,7890,636555
558,2016,4,Corrientes,54981,31497,233,1354,310,88096
559,2016,4,Entre Ríos,109359,64141,226,6448,710,180245
560,2016,4,Formosa,22400,6061,16,1023,130,29513
561,2016,4,Jujuy,33838,8731,22,0,340,42625
562,2016,4,La Pampa,12754,47245,5054,6253,5220,71828
563,2016,4,La Rioja,16270,0,16,20,280,16316
564,2016,4,Mendoza,153320,13030,2579,270,1769,170725
565,2016,4,Misiones,57983,39294,100,50,80,97390
566,2016,4,Neuquén,51742,46389,1124,1191,267,113835
567,2016,4,Río Negro,67057,28474,954,3274,1261,101020
568,2016,4,Salta,79389,26657,110,1580,6210,106935
569,2016,4,San Juan,48670,451,772,1121,9070,51921
570,2016,4,San Luis,11432,1120,354,260,3750,13307
571,2016,4,Santa Cruz,15607,2722,1055,4823,2257,26464
572,2016,4,Santa Fe,326721,225792,3201,4946,1172,561832
573,2016,4,Santiago Del Estero,30192,3900,19,9110,290,35051
574,2016,4,Tierra Del Fuego,22636,6905,665,10,235,32557
575,2016,4,Tucumán,146995,4482,116,140,450,151652
576,2016,3,Buenos Aires,1574216,1355770,113463,18867,24276,3086592
577,2016,3,Capital Federal,447726,905105,36796,2514,10963,1403104
578,2016,3,Catamarca,26689,248,14,10,180,26970
579,2016,3,Chaco,56251,32730,232,20,150,89230
580,2016,3,Chubut,43987,935,916,13364,475,63952
581,2016,3,Córdoba,348481,285480,2540,5695,3950,642591
582,2016,3,Corrientes,55934,30813,217,1354,220,88340
583,2016,3,Entre Ríos,112588,61850,206,6441,640,181149
584,2016,3,Formosa,21800,5905,9,0,20,27716
585,2016,3,Jujuy,34250,8236,22,0,300,42538
586,2016,3,La Pampa,12751,45952,4910,6236,5150,70364
587,2016,3,La Rioja,16891,0,15,20,220,16930
588,2016,3,Mendoza,153233,13030,2576,280,1757,170624
589,2016,3,Misiones,59776,38130,79,50,70,97997
590,2016,3,Neuquén,51752,44739,1093,12402,2617,112603
591,2016,3,Río Negro,67043,28496,942,3293,1252,101026
592,2016,3,Salta,80866,26113,90,1570,5650,107791
593,2016,3,San Juan,48670,451,770,1174,9030,51968
594,2016,3,San Luis,11432,1113,354,230,3710,13293
595,2016,3,Santa Cruz,15570,2722,817,4978,217,26257
596,2016,3,Santa Fe,334911,223011,3037,4862,119,567011
597,2016,3,Santiago Del Estero,31730,3900,19,30,80,35660
598,2016,3,Tierra Del Fuego,22636,6276,665,10,2347,31925
599,2016,3,Tucumán,147259,3850,116,530,410,151319
600,2016,2,Buenos Aires,1579448,1305949,113070,21163,25661,3045291
601,2016,2,Capital Federal,450644,892209,36669,239,12672,1394584
602,2016,2,Catamarca,26262,245,14,10,340,26556
603,2016,2,Chaco,56112,31825,221,520,410,88251
604,2016,2,Chubut,43977,867,916,13293,4803,63856
605,2016,2,Córdoba,348891,277615,1709,561,1089,634914
606,2016,2,Corrientes,55511,29845,203,1354,430,86956
607,2016,2,Entre Ríos,112809,58768,169,6434,1930,178373
608,2016,2,Formosa,22101,5658,6,1023,140,28802
609,2016,2,Jujuy,33758,7374,22,0,350,41189
610,2016,2,La Pampa,12754,44654,4708,6225,5470,68888
611,2016,2,La Rioja,16691,0,15,20,280,16736
612,2016,2,Mendoza,153321,13030,2576,290,1868,170824
613,2016,2,Misiones,59573,36145,77,50,150,95815
614,2016,2,Neuquén,51742,42370,1088,12466,2849,110515
615,2016,2,Río Negro,67031,28100,939,33,1334,100704
616,2016,2,Salta,79438,24719,85,1510,5390,104932
617,2016,2,San Juan,48670,451,770,1214,9080,52013
618,2016,2,San Luis,11432,1063,354,300,3770,13256
619,2016,2,Santa Cruz,15453,2722,396,4996,2586,26153
620,2016,2,Santa Fe,336244,219088,2981,4744,1417,564474
621,2016,2,Santiago Del Estero,32101,3900,19,9110,300,36961
622,2016,2,Tierra Del Fuego,22636,5707,665,10,235,31359
623,2016,2,Tucumán,145486,2968,116,580,490,148677
624,2016,1,Buenos Aires,1583560,1200859,111231,21108,25757,2942515
625,2016,1,Capital Federal,454425,832126,36332,2284,12729,1337896
626,2016,1,Catamarca,26096,243,15,10,340,26389
627,2016,1,Chaco,56353,29994,211,520,410,86651
628,2016,1,Chubut,43967,834,916,1328,4803,63800
629,2016,1,Córdoba,350884,252346,674,5636,3860,609926
630,2016,1,Corrientes,55454,28491,192,1354,450,85536
631,2016,1,Entre Ríos,113101,54948,146,6425,1930,174813
632,2016,1,Formosa,21852,5420,5,1023,140,28314
633,2016,1,Jujuy,33481,6751,22,0,350,40289
634,2016,1,La Pampa,12754,41881,4536,6209,5490,65929
635,2016,1,La Rioja,16645,0,16,20,280,16691
636,2016,1,Mendoza,153299,13030,2576,340,1871,170810
637,2016,1,Misiones,59538,33330,70,50,150,92958
638,2016,1,Neuquén,51702,36122,1085,12502,285,104261
639,2016,1,Río Negro,66894,27312,937,3341,1338,99822
640,2016,1,Salta,78973,22741,73,1320,5070,102426
641,2016,1,San Juan,48670,451,770,1195,9080,51994
642,2016,1,San Luis,11432,1042,354,270,3770,13232
643,2016,1,Santa Cruz,15654,2723,396,5088,2426,26287
644,2016,1,Santa Fe,338052,204816,3014,4686,1428,551996
645,2016,1,Santiago Del Estero,32838,3900,19,9110,300,37698
646,2016,1,Tierra Del Fuego,22636,4834,665,10,235,30486
647,2016,1,Tucumán,144233,2165,116,740,490,146637
648,2015,4,Buenos Aires,1586343,1223603,103269,20397,25773,2959385
649,2015,4,Capital Federal,455427,879950,19818,2273,12758,1370226
650,2015,4,Catamarca,26180,242,15,10,340,26472
651,2015,4,Chaco,56818,29456,186,520,410,86553
652,2015,4,Chubut,43968,811,916,13521,4803,64019
653,2015,4,Córdoba,353530,266062,480,5613,3850,626070
654,2015,4,Corrientes,55681,28178,177,1354,450,85435
655,2015,4,Entre Ríos,113983,53411,122,6427,1940,174137
656,2015,4,Formosa,21734,5314,4,1023,140,28089
657,2015,4,Jujuy,32934,6933,22,0,350,39924
658,2015,4,La Pampa,12755,42705,4327,6205,3740,66366
659,2015,4,La Rioja,16886,0,16,20,280,16932
660,2015,4,Mendoza,153293,13030,2572,380,1874,170807
661,2015,4,Misiones,60252,32533,48,50,150,92853
662,2015,4,Neuquén,51680,38902,1048,12934,2852,107416
663,2015,4,Río Negro,66851,27221,915,3407,1328,99722
664,2015,4,Salta,78744,22446,47,1290,5540,101920
665,2015,4,San Juan,48670,451,770,123,9080,52029
666,2015,4,San Luis,11432,1025,354,300,3770,13218
667,2015,4,Santa Cruz,15614,2723,396,5261,2409,26403
668,2015,4,Santa Fe,339843,212911,2885,4596,1437,561672
669,2015,4,Santiago Del Estero,33582,4365,19,1139,300,39135
670,2015,4,Tierra Del Fuego,22636,4301,665,10,235,29953
671,2015,4,Tucumán,144188,1653,116,880,500,146095
672,2015,3,Buenos Aires,1585467,1183894,113590,19989,25825,2928765
673,2015,3,Capital Federal,454815,871262,30974,2229,12788,1372068
674,2015,3,Catamarca,25801,242,15,10,340,26093
675,2015,3,Chaco,56282,28809,186,520,410,85370
676,2015,3,Chubut,43964,792,916,13408,4803,63883
677,2015,3,Córdoba,351692,264055,1450,5412,3890,622998
678,2015,3,Corrientes,55792,27604,176,134,470,84959
679,2015,3,Entre Ríos,113909,51945,122,6261,1970,172434
680,2015,3,Formosa,21573,5264,2,8990,140,27752
681,2015,3,Jujuy,32598,6895,22,0,350,39550
682,2015,3,La Pampa,12755,41886,4078,6195,5570,65471
683,2015,3,La Rioja,16725,0,16,20,280,16771
684,2015,3,Mendoza,153299,13030,2572,420,188,170823
685,2015,3,Misiones,59921,31635,46,50,150,91622
686,2015,3,Neuquén,47102,36620,1045,13051,2798,100616
687,2015,3,Río Negro,66806,27130,917,3415,1346,99614
688,2015,3,Salta,78064,21688,47,1290,6450,100573
689,2015,3,San Juan,48670,451,770,1231,9080,52030
690,2015,3,San Luis,11432,1025,354,310,3770,13219
691,2015,3,Santa Cruz,15540,2718,396,5226,2391,26271
692,2015,3,Santa Fe,337042,209673,4169,4426,1428,556738
693,2015,3,Santiago Del Estero,33886,4365,19,1097,300,39397
694,2015,3,Tierra Del Fuego,22636,8085,665,10,235,33737
695,2015,3,Tucumán,142925,1135,116,880,500,144314
696,2015,2,Buenos Aires,1581770,1141052,115660,19268,2604,2883790
697,2015,2,Capital Federal,453178,858342,19786,2172,12806,1346284
698,2015,2,Catamarca,25387,242,15,10,340,25679
699,2015,2,Chaco,55767,27809,179,520,410,83848
700,2015,2,Chubut,43949,762,916,13055,4803,63485
701,2015,2,Córdoba,348130,255596,435,5199,3860,609746
702,2015,2,Corrientes,55238,26553,157,1321,470,83316
703,2015,2,Entre Ríos,113378,49767,119,6031,1970,169492
704,2015,2,Formosa,21097,5164,2,7370,500,27050
705,2015,2,Jujuy,32183,5482,22,0,350,37722
706,2015,2,La Pampa,12756,40825,3719,619,5620,64052
707,2015,2,La Rioja,16463,0,16,20,280,16509
708,2015,2,Mendoza,153301,13030,2572,380,1882,170823
709,2015,2,Misiones,59179,29283,37,50,150,88519
710,2015,2,Neuquén,47078,34183,1044,12781,2799,97885
711,2015,2,Río Negro,66738,26268,916,3457,1348,98727
712,2015,2,Salta,77214,20297,47,1290,5800,98267
713,2015,2,San Juan,48670,451,770,1189,9080,51988
714,2015,2,San Luis,11432,1025,354,330,3770,13221
715,2015,2,Santa Cruz,15343,2707,396,4917,24,25763
716,2015,2,Santa Fe,333117,204685,2877,432,1389,546388
717,2015,2,Santiago Del Estero,33873,4365,19,1091,300,39378
718,2015,2,Tierra Del Fuego,22636,7927,665,10,235,33579
719,2015,2,Tucumán,139944,479,116,880,500,140677
720,2015,1,Buenos Aires,1583135,1096836,134177,18754,2894,2861842
721,2015,1,Capital Federal,454934,841743,19334,1994,14716,1332721
722,2015,1,Catamarca,25033,241,16,10,410,25332
723,2015,1,Chaco,54952,26161,164,270,560,81360
724,2015,1,Chubut,45645,717,906,1254,5465,65273
725,2015,1,Córdoba,343883,247564,415,4645,4500,596957
726,2015,1,Corrientes,54649,25372,129,1319,620,81531
727,2015,1,Entre Ríos,112363,47411,108,5943,2450,166070
728,2015,1,Formosa,21022,4951,1,6700,560,26700
729,2015,1,Jujuy,31505,5048,22,0,360,36611
730,2015,1,La Pampa,13143,39571,3215,6164,6040,62697
731,2015,1,La Rioja,16282,0,16,20,330,16333
732,2015,1,Mendoza,152433,13030,2542,290,2126,170160
733,2015,1,Misiones,58262,26836,30,50,130,85146
734,2015,1,Neuquén,47518,32152,1024,12088,296,95742
735,2015,1,Río Negro,66274,25217,907,3473,1462,97333
736,2015,1,Salta,76280,19781,47,1290,5740,96811
737,2015,1,San Juan,48441,451,755,1165,1007,51819
738,2015,1,San Luis,11414,1025,351,300,4120,13232
739,2015,1,Santa Cruz,16215,2700,392,4772,2562,26641
740,2015,1,Santa Fe,328809,199037,2845,4239,1507,536437
741,2015,1,Santiago Del Estero,33813,4365,19,102,350,39252
742,2015,1,Tierra Del Fuego,22291,7924,657,10,2583,33456
743,2015,1,Tucumán,137857,115,116,880,1000,138276
744,2014,4,Buenos Aires,1575978,1070135,120528,17728,32038,2816407
745,2014,4,Capital Federal,455785,840224,17155,1962,15394,1330520
746,2014,4,Catamarca,25192,241,16,0,440,25493
747,2014,4,Chaco,55024,10918,31,0,620,66035
748,2014,4,Chubut,48539,697,891,12256,6159,68542
749,2014,4,Córdoba,345157,240452,419,3918,4860,590432
750,2014,4,Corrientes,54754,9526,40,1315,750,65710
751,2014,4,Entre Ríos,112291,23027,57,5178,2600,140813
752,2014,4,Formosa,21245,4896,1,0,650,26207
753,2014,4,Jujuy,31349,4583,22,370,110,36002
754,2014,4,La Pampa,16043,34281,514,5894,6480,57380
755,2014,4,La Rioja,16352,0,17,0,330,16402
756,2014,4,Mendoza,151797,13030,2534,310,2222,169614
757,2014,4,Misiones,58435,18613,16,1500,150,77229
758,2014,4,Neuquén,47721,31778,1014,11853,303,95396
759,2014,4,Río Negro,66307,23703,901,3819,153,96260
760,2014,4,Salta,76026,17289,48,60,5780,93947
761,2014,4,San Juan,48653,451,740,1202,1073,52119
762,2014,4,San Luis,11419,926,355,240,4230,13147
763,2014,4,Santa Cruz,17553,448,388,4395,2929,25713
764,2014,4,Santa Fe,335267,183009,3205,6282,1634,529397
765,2014,4,Santiago Del Estero,34110,4231,19,9200,370,39317
766,2014,4,Tierra Del Fuego,21948,3664,655,10,2722,28990
767,2014,4,Tucumán,137093,97,116,130,1050,137424
768,2014,3,Buenos Aires,1562533,1110628,124474,20049,31881,2849565
769,2014,3,Capital Federal,450155,833402,17886,1995,14387,1317825
770,2014,3,Catamarca,24380,244,15,0,470,24686
771,2014,3,Chaco,53321,10336,29,10,590,63746
772,2014,3,Chubut,49219,668,882,11853,6515,69137
773,2014,3,Córdoba,340212,240334,444,4064,3770,585431
774,2014,3,Corrientes,52957,9184,31,1312,650,63549
775,2014,3,Entre Ríos,108907,22440,48,5203,1350,136733
776,2014,3,Formosa,21021,4836,0,0,800,25937
777,2014,3,Jujuy,30128,3541,22,370,130,33741
778,2014,3,La Pampa,16051,33940,538,11219,6770,62425
779,2014,3,La Rioja,15864,0,14,10,370,15916
780,2014,3,Mendoza,150120,13030,2512,400,2222,167924
781,2014,3,Misiones,56933,18373,4,30,140,75327
782,2014,3,Neuquén,54458,30964,1000,12858,3087,102367
783,2014,3,Río Negro,65264,26590,888,3533,1505,97780
784,2014,3,Salta,73828,18394,43,1090,5800,92954
785,2014,3,San Juan,48272,451,731,1199,1126,51779
786,2014,3,San Luis,11303,925,355,250,4380,13046
787,2014,3,Santa Cruz,17862,492,385,4273,3098,26110
788,2014,3,Santa Fe,325577,183630,4407,654,7330,520887
789,2014,3,Santiago Del Estero,32820,3900,19,7680,410,37548
790,2014,3,Tierra Del Fuego,21840,3469,650,10,2832,28792
791,2014,3,Tucumán,131739,97,117,130,1000,132066
792,2014,2,Buenos Aires,1568881,1025490,120008,1702,33147,2764546
793,2014,2,Capital Federal,447637,828411,17729,1883,14555,1310215
794,2014,2,Catamarca,24380,243,17,0,430,24683
795,2014,2,Chaco,53321,9870,30,0,580,63279
796,2014,2,Chubut,51070,649,866,1096,6974,70519
797,2014,2,Córdoba,337825,234729,351,3673,3740,576952
798,2014,2,Corrientes,52883,8680,31,1309,550,62958
799,2014,2,Entre Ríos,108900,21706,49,4795,1330,135583
800,2014,2,Formosa,20894,4628,0,0,780,25600
801,2014,2,Jujuy,30128,4161,23,400,90,34361
802,2014,2,La Pampa,15957,32600,513,5869,6890,55628
803,2014,2,La Rioja,15864,0,14,0,340,15912
804,2014,2,Mendoza,148979,13030,2480,360,2282,166807
805,2014,2,Misiones,56933,17594,4,1500,80,74689
806,2014,2,Neuquén,47767,29776,997,10765,2983,92288
807,2014,2,Río Negro,64920,24944,876,3657,156,95957
808,2014,2,Salta,73841,17504,45,70,5770,91974
809,2014,2,San Juan,48161,451,722,1139,1173,51646
810,2014,2,San Luis,11306,925,354,220,4480,13055
811,2014,2,Santa Cruz,18956,448,381,4118,3266,27169
812,2014,2,Santa Fe,324101,178495,3085,6041,6360,512358
813,2014,2,Santiago Del Estero,32820,4231,19,9070,340,38011
814,2014,2,Tierra Del Fuego,21618,3008,648,10,2934,28209
815,2014,2,Tucumán,131740,97,121,130,980,132069
816,2014,1,Buenos Aires,1567685,1000879,120960,16528,33824,2739876
817,2014,1,Capital Federal,445569,820161,17767,1866,14555,1299918
818,2014,1,Catamarca,24126,46,17,0,430,24232
819,2014,1,Chaco,52971,9497,30,0,580,62556
820,2014,1,Chubut,51066,539,866,10776,6974,70221
821,2014,1,Córdoba,336841,225769,347,3585,3680,566910
822,2014,1,Corrientes,52565,8279,31,1306,550,62236
823,2014,1,Entre Ríos,107883,21379,49,4887,1330,134331
824,2014,1,Formosa,20774,4548,0,0,1000,25422
825,2014,1,Jujuy,29765,4030,23,0,90,33827
826,2014,1,La Pampa,15826,31305,513,5848,7010,54193
827,2014,1,La Rioja,15663,0,14,0,340,15711
828,2014,1,Mendoza,148970,12076,2480,370,2282,165845
829,2014,1,Misiones,56597,17191,4,1500,80,73950
830,2014,1,Neuquén,47790,28161,997,10381,3051,90380
831,2014,1,Río Negro,64886,24156,876,3576,1572,95066
832,2014,1,Salta,73131,17538,45,80,5680,91290
833,2014,1,San Juan,48161,434,722,8080,1173,51298
834,2014,1,San Luis,11306,428,354,210,4480,12557
835,2014,1,Santa Cruz,18927,100,381,4092,3264,26764
836,2014,1,Santa Fe,322662,174296,3059,5951,6440,506612
837,2014,1,Santiago Del Estero,32567,3598,19,9150,340,37133
838,2014,1,Tierra Del Fuego,21618,2837,648,10,2934,28038
839,2014,1,Tucumán,129717,83,121,130,980,130032
