,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
55,2022,1,Entre Ríos,67159,138986,23091,26098,12592,267926
56,2022,1,Formosa,16397,15927,5146,16876,2020,54548
57,2022,1,Jujuy,21307,60616,25949,4662,3975,116509
58,2022,1,La Pampa,8003,58978,21739,19903,1109,109732
59,2022,1,La Rioja,9103,59228,9546,6395,310,84303
60,2022,1,Mendoza,49464,74145,123228,26969,1379,275185
61,2022,1,Misiones,39147,91752,25178,7807,7624,171508
62,2022,1,Neuquén,28443,73200,24193,23098,7450,149679
63,2022,1,Río Negro,38662,45366,38037,16815,18494,157374
64,2022,1,Salta,44714,98667,40994,595,719,197515
65,2022,1,San Juan,34038,14449,11294,20723,7674,88178
66,2022,1,San Luis,7987,11296,31,71809,28721,119844
67,2022,1,Santa Cruz,10537,23420,10766,3974,4050,49102
68,2022,1,Santa Fe,213486,444609,146552,45261,20571,870479
69,2022,1,Santiago Del Estero,18118,87979,1093,6349,2922,116461
70,2022,1,Tierra Del Fuego,13031,38700,416,1240,3400,52611
71,2022,1,Tucumán,92532,62396,86174,3995,4870,245584
72,2021,4,Buenos Aires,426325,2706506,1176024,126887,73415,4509157
73,2021,4,Capital Federal,111360,1205128,60005,5679,29947,1412119
74,2021,4,Catamarca,16385,13858,25100,1512,2235,59090
75,2021,4,Chaco,35548,63145,34688,8005,2359,143745
76,2021,4,Chubut,46361,57412,9655,28041,18839,160308
77,2021,4,Córdoba,212011,487489,217214,61277,8779,986770
78,2021,4,Corrientes,42523,71183,10138,6778,529,135912
79,2021,4,Entre Ríos,70459,133387,23452,25022,12726,265046
80,2021,4,Formosa,17211,15111,5151,16018,1720,53663
81,2021,4,Jujuy,22330,60511,24156,2927,3991,113915
82,2021,4,La Pampa,8175,58000,20192,19286,1354,107007
83,2021,4,La Rioja,10387,56651,9446,6613,310,83128
84,2021,4,Mendoza,59842,71553,109667,24666,1859,267587
85,2021,4,Misiones,41778,92068,22035,7649,7602,171132
86,2021,4,Neuquén,29175,72761,23253,21531,7460,147466
87,2021,4,Río Negro,42037,44495,32212,16558,18451,153753
88,2021,4,Salta,46972,99808,39555,5882,7188,199405
89,2021,4,San Juan,35868,13102,11072,11423,8493,79958
90,2021,4,San Luis,8472,11064,30,7056,28723,118849
91,2021,4,Santa Cruz,10790,22902,10031,4346,4170,48486
92,2021,4,Santa Fe,233427,444373,128856,43556,16229,866441
93,2021,4,Santiago Del Estero,19032,86563,1088,6256,2922,115861
94,2021,4,Tierra Del Fuego,13317,38148,426,1240,3420,52357
95,2021,4,Tucumán,97830,59022,78790,2511,4860,238639
96,2021,3,Buenos Aires,585729,2595485,885613,120228,64554,4251609
97,2021,3,Capital Federal,142902,1192107,42966,6059,29371,1413405
98,2021,3,Catamarca,18413,11709,22331,1568,2233,56254
99,2021,3,Chaco,38258,63659,27583,8018,2353,139871
100,2021,3,Chubut,49269,55794,8946,23376,18681,156066
101,2021,3,Córdoba,229275,477223,167495,57617,15178,946788
102,2021,3,Corrientes,44805,69403,7542,6766,5303,133819
103,2021,3,Entre Ríos,74443,128752,20485,235,13195,260375
104,2021,3,Formosa,18093,14111,4730,1569,1710,52795
105,2021,3,Jujuy,23554,60758,19926,2952,3968,111158
106,2021,3,La Pampa,9015,57881,17817,14479,1295,100487
107,2021,3,La Rioja,11329,54744,9444,6613,300,82160
108,2021,3,Mendoza,91474,71247,70579,21811,8280,255939
109,2021,3,Misiones,43230,89469,10969,7198,7662,158528
110,2021,3,Neuquén,29650,73794,16455,1927,6400,139809
111,2021,3,Río Negro,47934,44519,18725,15031,18376,144585
112,2021,3,Salta,49212,98318,36126,5724,6453,195833
113,2021,3,San Juan,40072,12922,6670,11372,8447,79483
114,2021,3,San Luis,8417,11884,27,68856,2868,117864
115,2021,3,Santa Cruz,12347,22961,6328,4269,3071,48976
116,2021,3,Santa Fe,245929,443156,93412,43447,1564,841584
117,2021,3,Santiago Del Estero,19939,85535,909,6147,2928,115458
118,2021,3,Tierra Del Fuego,12853,36958,6,160,3900,50223
119,2021,3,Tucumán,104489,53868,70964,2408,7430,232472
120,2021,2,Buenos Aires,603255,2503830,854173,113546,57547,4132351
121,2021,2,Capital Federal,148989,1175097,41318,558,29371,1400355
122,2021,2,Catamarca,20305,9426,22331,1449,2233,55744
123,2021,2,Chaco,39826,62948,27584,8018,2353,140729
124,2021,2,Chubut,49271,41497,6081,23682,18706,139237
125,2021,2,Córdoba,239780,467782,151855,55944,15519,930880
126,2021,2,Corrientes,46648,67262,3731,6557,5303,129501
127,2021,2,Entre Ríos,77836,124957,17856,23786,13197,257632
128,2021,2,Formosa,19571,12509,3610,1569,1710,51551
129,2021,2,Jujuy,24738,60800,19611,2731,3968,111848
130,2021,2,La Pampa,9017,57014,17132,13209,1295,97667
131,2021,2,La Rioja,11627,54255,9445,6245,300,81602
132,2021,2,Mendoza,91503,70834,44696,21811,8270,229671
133,2021,2,Misiones,44960,87861,10376,5317,7662,156176
134,2021,2,Neuquén,30083,72690,15619,19218,6400,138250
135,2021,2,Río Negro,48189,43761,18727,15031,18376,144084
136,2021,2,Salta,51396,96016,32050,5724,6453,191639
137,2021,2,San Juan,40072,12369,6673,11372,8447,78933
138,2021,2,San Luis,8417,11308,28,6686,36205,122818
139,2021,2,Santa Cruz,12347,22967,6328,4269,3071,48982
140,2021,2,Santa Fe,256741,431915,90424,43997,17523,840600
141,2021,2,Santiago Del Estero,20734,83770,909,5081,3596,114090
142,2021,2,Tierra Del Fuego,12853,22504,6,140,3160,35693
143,2021,2,Tucumán,110429,48359,71683,1837,7430,233051
