,Año,Trimestre,Provincia,Accesos por cada 100 hogares
206,2020,3,Neuquén,65
207,2020,3,Río Negro,57
208,2020,3,Salta,52
209,2020,3,San Juan,39
210,2020,3,San Luis,80
211,2020,3,Santa Cruz,36
212,2020,3,Santa Fe,72
213,2020,3,Santiago Del Estero,43
214,2020,3,Tierra Del Fuego,77
215,2020,3,Tucumán,53
216,2020,2,Buenos Aires,65
217,2020,2,Capital Federal,106
218,2020,2,Catamarca,45
219,2020,2,Chaco,40
220,2020,2,Chubut,57
221,2020,2,Córdoba,73
222,2020,2,Corrientes,40
223,2020,2,Entre Ríos,57
224,2020,2,Formosa,31
225,2020,2,Jujuy,48
226,2020,2,La Pampa,76
227,2020,2,La Rioja,50
228,2020,2,Mendoza,36
229,2020,2,Misiones,41
230,2020,2,Neuquén,64
231,2020,2,Río Negro,56
232,2020,2,Salta,52
233,2020,2,San Juan,35
234,2020,2,San Luis,78
235,2020,2,Santa Cruz,36
236,2020,2,Santa Fe,70
237,2020,2,Santiago Del Estero,43
238,2020,2,Tierra Del Fuego,76
239,2020,2,Tucumán,52
240,2020,1,Buenos Aires,64
241,2020,1,Capital Federal,106
242,2020,1,Catamarca,38
243,2020,1,Chaco,37
244,2020,1,Chubut,51
245,2020,1,Córdoba,71
246,2020,1,Corrientes,39
247,2020,1,Entre Ríos,56
248,2020,1,Formosa,30
249,2020,1,Jujuy,47
250,2020,1,La Pampa,76
251,2020,1,La Rioja,46
252,2020,1,Mendoza,33
253,2020,1,Misiones,39
254,2020,1,Neuquén,62
255,2020,1,Río Negro,55
256,2020,1,Salta,50
257,2020,1,San Juan,32
258,2020,1,San Luis,76
259,2020,1,Santa Cruz,36
260,2020,1,Santa Fe,70
261,2020,1,Santiago Del Estero,42
262,2020,1,Tierra Del Fuego,76
263,2020,1,Tucumán,48
264,2019,4,Buenos Aires,64
265,2019,4,Capital Federal,106
266,2019,4,Catamarca,36
267,2019,4,Chaco,37
268,2019,4,Chubut,51
269,2019,4,Córdoba,70
270,2019,4,Corrientes,39
271,2019,4,Entre Ríos,58
272,2019,4,Formosa,30
273,2019,4,Jujuy,45
274,2019,4,La Pampa,77
275,2019,4,La Rioja,47
276,2019,4,Mendoza,34
277,2019,4,Misiones,40
278,2019,4,Neuquén,59
279,2019,4,Río Negro,56
280,2019,4,Salta,50
281,2019,4,San Juan,33
282,2019,4,San Luis,75
283,2019,4,Santa Cruz,37
284,2019,4,Santa Fe,69
285,2019,4,Santiago Del Estero,43
286,2019,4,Tierra Del Fuego,80
287,2019,4,Tucumán,48
288,2019,3,Buenos Aires,69
289,2019,3,Capital Federal,113
290,2019,3,Catamarca,31
291,2019,3,Chaco,36
292,2019,3,Chubut,48
293,2019,3,Córdoba,69
294,2019,3,Corrientes,38
295,2019,3,Entre Ríos,58
296,2019,3,Formosa,30
297,2019,3,Jujuy,44
298,2019,3,La Pampa,77
299,2019,3,La Rioja,48
300,2019,3,Mendoza,41
301,2019,3,Misiones,39
302,2019,3,Neuquén,64
303,2019,3,Río Negro,63
304,2019,3,Salta,44
305,2019,3,San Juan,37
306,2019,3,San Luis,85
307,2019,3,Santa Cruz,36
308,2019,3,Santa Fe,69
309,2019,3,Santiago Del Estero,55
310,2019,3,Tierra Del Fuego,96
311,2019,3,Tucumán,39
312,2019,2,Buenos Aires,68
313,2019,2,Capital Federal,111
314,2019,2,Catamarca,32
315,2019,2,Chaco,34
316,2019,2,Chubut,47
317,2019,2,Córdoba,68
318,2019,2,Corrientes,38
319,2019,2,Entre Ríos,57
320,2019,2,Formosa,30
321,2019,2,Jujuy,45
322,2019,2,La Pampa,77
323,2019,2,La Rioja,49
324,2019,2,Mendoza,41
325,2019,2,Misiones,39
326,2019,2,Neuquén,63
327,2019,2,Río Negro,61
328,2019,2,Salta,42
329,2019,2,San Juan,36
330,2019,2,San Luis,82
331,2019,2,Santa Cruz,29
332,2019,2,Santa Fe,67
333,2019,2,Santiago Del Estero,53
334,2019,2,Tierra Del Fuego,95
335,2019,2,Tucumán,40
336,2019,1,Buenos Aires,66
337,2019,1,Capital Federal,109
338,2019,1,Catamarca,32
339,2019,1,Chaco,33
340,2019,1,Chubut,43
341,2019,1,Córdoba,66
342,2019,1,Corrientes,35
343,2019,1,Entre Ríos,57
344,2019,1,Formosa,30
345,2019,1,Jujuy,46
346,2019,1,La Pampa,76
347,2019,1,La Rioja,50
348,2019,1,Mendoza,38
